"# Time","IC-RP","norm IC-RP","EC-RP","norm EC-RP","SMAC gen"
40680,1.42,0.8286937901,1.231,0.9571428571,0.9999999995
40860,1.424,0.8329764454,1.241,0.969047619,0.9999999996
41040,1.45,0.8608137045,1.238,0.9654761905,0.9999999996
41220,1.51,0.9250535332,1.246,0.975,0.9999999997
41400,1.5,0.9143468951,1.25,0.9797619048,0.9999999997
41580,1.518,0.9336188437,1.254,0.9845238095,0.9999999998
41760,1.537,0.9539614561,1.251,0.980952381,0.9999999998
41940,1.5,0.9143468951,1.259,0.9904761905,0.9999999998
42120,1.487,0.9004282655,1.257,0.9880952381,0.9999999998
42300,1.535,0.9518201285,1.252,0.9821428571,0.9999999999
42480,1.52,0.9357601713,1.258,0.9892857143,0.9999999999
42660,1.482,0.8950749465,1.243,0.9714285714,0.9999999999
42840,1.459,0.8704496788,1.247,0.9761904762,0.9999999999
43020,1.503,0.9175588865,1.247,0.9761904762,0.9999999999
43200,1.479,0.891862955,1.252,0.9821428571,0.9999999999
43380,1.492,0.9057815846,1.243,0.9714285714,0.9999999999
43560,1.483,0.8961456103,1.249,0.9785714286,0.9999999999
43740,1.488,0.9014989293,1.252,0.9821428571,0.9999999999
43920,1.556,0.9743040685,1.255,0.9857142857,1
44100,1.514,0.9293361884,1.261,0.9928571429,1
44280,1.52,0.9357601713,1.24,0.9678571429,1
44460,1.502,0.9164882227,1.249,0.9785714286,1
44640,1.486,0.8993576017,1.25,0.9797619048,1
44820,1.527,0.943254818,1.241,0.969047619,1
45000,1.537,0.9539614561,1.243,0.9714285714,1
45180,1.58,1,1.237,0.9642857143,1
45360,1.539,0.9561027837,1.251,0.980952381,1
45540,1.512,0.9271948608,1.233,0.9595238095,1
45720,1.532,0.948608137,1.235,0.9619047619,1
45900,1.505,0.9197002141,1.247,0.9761904762,1
46080,1.52,0.9357601713,1.247,0.9761904762,1
46260,1.474,0.886509636,1.242,0.9702380952,1
46440,1.512,0.9271948608,1.242,0.9702380952,1
46620,1.506,0.9207708779,1.252,0.9821428571,1
46800,1.483,0.8961456103,1.238,0.9654761905,1
46980,1.476,0.8886509636,1.239,0.9666666667,1
47160,1.46,0.8715203426,1.246,0.975,1
47340,1.489,0.9025695931,1.248,0.9773809524,1
47520,1.434,0.8436830835,1.24,0.9678571429,1
47700,1.466,0.8779443255,1.251,0.980952381,1
47880,1.49,0.903640257,1.247,0.9761904762,1
48060,1.497,0.9111349036,1.244,0.9726190476,1
48240,1.514,0.9293361884,1.249,0.9785714286,1
48420,1.516,0.9314775161,1.242,0.9702380952,1
48600,1.508,0.9229122056,1.237,0.9642857143,1
48780,1.515,0.9304068522,1.242,0.9702380952,1
48960,1.523,0.9389721627,1.246,0.975,1
